Date;CutFlowers;PotOwn;PotPurchased;Wholesale;FruitsVegs;Commodity;mean_temp;mean_humid;mean_prec_height_mm;total_prec_height_mm;mean_prec_flag;total_prec_flag;mean_sun_dur_min;total_sun_dur_h;public_holiday;school_holiday
2017-01-30;117,8000000000;0,0000000000;33,8000000000;0,0000000000;3,0000000000;13,5800000000;0,0375000000;92,9166666667;0,1416666667;3,4000000000;0,6250000000;True;0,0000000000;0,0000000000;no;no
2017-01-31;166,7000000000;0,0000000000;2,0000000000;0,0000000000;6,2000000000;73,4000000000;2,0375000000;94,8750000000;0,0500000000;1,2000000000;0,1666666667;True;0,0000000000;0,0000000000;no;no
2017-02-01;95,0000000000;1,9000000000;32,8000000000;0,0000000000;5,4000000000;17,0500000000;0,8000000000;91,6666666667;0,0000000000;0,0000000000;0,0000000000;False;0,0000000000;0,0000000000;no;no
2017-02-02;268,8000000000;0,0000000000;14,9000000000;0,0000000000;31,9000000000;23,3500000000;2,0583333333;96,1250000000;0,0500000000;1,2000000000;0,5000000000;True;0,0000000000;0,0000000000;no;no
2017-02-03;222,9000000000;0,0000000000;88,5000000000;0,0000000000;12,7500000000;69,4400000000;2,5125000000;94,1250000000;0,0041666667;0,1000000000;0,2916666667;True;0,2777777778;0,1111111111;no;no
2017-02-04;121,1000000000;1,9000000000;15,2000000000;0,0000000000;6,3000000000;28,0500000000;3,1166666667;91,6666666667;0,0250000000;0,6000000000;0,1666666667;True;15,5555555556;6,2222222222;no;no
2017-02-05;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;4,1791666667;81,0000000000;0,0375000000;0,9000000000;0,2083333333;True;26,7222222222;10,6888888889;no;no
2017-02-06;238,6000000000;1,9000000000;54,3000000000;0,0000000000;26,6500000000;74,1300000000;2,7791666667;83,8750000000;0,0000000000;0,0000000000;0,0000000000;False;1,1111111111;0,4444444444;no;no
2017-02-07;256,0000000000;3,8000000000;5,5000000000;0,0000000000;2,9000000000;36,4000000000;0,9583333333;91,4166666667;0,0000000000;0,0000000000;0,0000000000;False;1,7777777778;0,7111111111;no;no
2017-02-08;210,0000000000;59,0000000000;21,9000000000;0,0000000000;7,6300000000;87,6500000000;0,2500000000;82,9583333333;0,0000000000;0,0000000000;0,0000000000;False;7,9444444444;3,1777777778;no;no
2017-02-09;190,6000000000;6,4000000000;26,7000000000;22,9500000000;23,2600000000;35,8600000000;-1,3166666667;77,5833333333;0,0000000000;0,0000000000;0,0000000000;False;0,0000000000;0,0000000000;no;no
2017-02-10;221,7000000000;28,8000000000;52,3000000000;0,0000000000;17,7500000000;49,6000000000;0,2041666667;81,0416666667;0,0000000000;0,0000000000;0,0416666667;True;1,5000000000;0,6000000000;no;no
2017-02-11;337,4000000000;6,5000000000;13,3000000000;0,0000000000;27,6000000000;29,9000000000;0,7500000000;84,5833333333;0,0041666667;0,1000000000;0,0833333333;True;23,7777777778;9,5111111111;no;no
2017-02-12;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,4916666667;84,8333333333;0,0000000000;0,0000000000;0,0000000000;False;0,0000000000;0,0000000000;no;no
2017-02-13;557,0000000000;26,3000000000;128,9000000000;129,5200000000;5,1900000000;59,3000000000;3,2041666667;63,5416666667;0,0000000000;0,0000000000;0,0000000000;False;29,6666666667;11,8666666667;no;no
2017-02-14;1609,2000000000;0,0000000000;31,2000000000;0,0000000000;16,6500000000;36,7000000000;0,3500000000;74,0833333333;0,0000000000;0,0000000000;0,0000000000;False;30,1666666667;12,0666666667;no;no
2017-02-15;194,3000000000;5,8000000000;26,6000000000;0,0000000000;22,9900000000;9,2500000000;-0,3750000000;79,5000000000;0,0000000000;0,0000000000;0,0000000000;False;29,5555555556;11,8222222222;no;no
2017-02-16;224,4500000000;7,3000000000;3,0000000000;80,7000000000;13,1700000000;21,1000000000;1,2291666667;84,7500000000;0,0791666667;1,9000000000;0,0833333333;True;11,6111111111;4,6444444444;no;no
2017-02-17;257,4000000000;6,0000000000;38,8000000000;96,8600000000;45,3800000000;22,7000000000;3,8458333333;96,1250000000;0,1500000000;3,6000000000;0,5833333333;True;0,0555555556;0,0222222222;no;no
2017-02-18;212,8000000000;3,0000000000;0,0000000000;0,0000000000;4,5000000000;8,2500000000;3,6041666667;91,6250000000;0,0083333333;0,2000000000;0,2500000000;True;0,0000000000;0,0000000000;no;no
2017-02-19;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;2,3916666667;92,5000000000;0,0291666667;0,7000000000;0,2500000000;True;2,0555555556;0,8222222222;no;no
2017-02-20;186,7000000000;6,0000000000;17,3000000000;209,7800000000;18,6900000000;100,6500000000;6,1166666667;91,0833333333;0,1541666667;3,7000000000;0,4583333333;True;0,1111111111;0,0444444444;no;no
2017-02-21;180,2000000000;2,0000000000;0,0000000000;33,1500000000;4,5000000000;19,9000000000;7,8708333333;91,6250000000;0,0791666667;1,9000000000;0,6666666667;True;0,0555555556;0,0222222222;no;no
2017-02-22;244,3000000000;18,6000000000;41,8000000000;0,0000000000;29,8200000000;84,0500000000;9,3666666667;87,8750000000;0,0500000000;1,2000000000;0,9166666667;True;0,0000000000;0,0000000000;no;no
2017-02-23;200,0000000000;33,5000000000;23,8000000000;155,0000000000;33,7700000000;75,8500000000;10,0083333333;71,5416666667;0,0291666667;0,7000000000;0,5833333333;True;6,2222222222;2,4888888889;no;no
2017-02-24;367,6000000000;4,5000000000;58,0000000000;0,0000000000;25,8200000000;28,3500000000;4,1458333333;64,0833333333;0,0000000000;0,0000000000;0,3333333333;True;11,0555555556;4,4222222222;no;no
2017-02-25;170,7000000000;12,5000000000;32,4000000000;0,0000000000;2,0000000000;78,2400000000;1,6416666667;74,3750000000;0,0000000000;0,0000000000;0,0000000000;False;21,2222222222;8,4888888889;no;no
