;dataset;imputation;init_train_len;test_len;split_perc;trend;damped;seasonal;seasonal_periods;remove_bias;use_brute;one_step_ahead;power_transform;log;RMSE_Train_RW;MAPE_Train_RW;sMAPE_Train_RW;RMSE_Test_RW;MAPE_Test_RW;sMAPE_Test_RW;RMSE_Train_seasRW;MAPE_Train_seasRW;sMAPE_Train_seasRW;RMSE_Test_seasRW;MAPE_Test_seasRW;sMAPE_Test_seasRW;RMSE_Train_HA;MAPE_Train_HA;sMAPE_Train_HA;RMSE_Test_HA;MAPE_Test_HA;sMAPE_Test_HA;RMSE_Train;MAPE_Train;sMAPE_Train;RMSE_Test;MAPE_Test;sMAPE_Test
23;CashierData_weekly;mean;;;0,8000000000;;False;add;52;True;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;370,8780454773;17,3839133338;17,1693313156;602,7994400429;68,6347436810;28,8225405344
24;CashierData_weekly;mean;;;0,8000000000;add;False;mul;52;True;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;360,6690407445;17,9571812273;17,0552525478;650,0311723146;77,1557136556;29,1448260399
25;CashierData_weekly;mean;;;0,8000000000;;False;mul;52;True;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;365,4627328102;18,3208867681;17,4629033476;641,4908948599;75,2230802243;29,2580723064
26;CashierData_weekly;mean;;;0,8000000000;add;False;mul;52;True;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;365,3227200409;17,0096972213;16,7521202209;619,1596882156;71,2775861426;28,8847346178
27;CashierData_weekly;mean;;;0,8000000000;;False;mul;52;True;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;370,5017583205;17,4330571236;17,1838149953;605,8662271194;69,0742591386;28,9123891051
28;Failure;mean;;;0,8000000000;add;False;mul;52;True;False;False;True;False;;;;;;;;;;;;;;;;;;;;;;;;
29;Failure;mean;;;0,8000000000;;False;mul;52;True;False;False;True;False;;;;;;;;;;;;;;;;;;;;;;;;
30;CashierData_weekly;mean;;;0,8000000000;add;False;;52;True;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;707,7292862616;35,1730835861;30,4551842639;773,4654510900;77,7220270583;33,1897449332
31;CashierData_weekly;mean;;;0,8000000000;;False;;52;True;False;False;False;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846
32;CashierData_weekly;mean;;;0,8000000000;add;False;;52;True;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;762,6916072190;33,9009719036;31,8966450930;739,2850165726;56,9929451491;31,3442335261
33;CashierData_weekly;mean;;;0,8000000000;;False;;52;True;False;False;False;True;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;728,4813594184;32,0194803110;29,7569898638;725,1955331545;58,3632507231;29,4193987359
34;CashierData_weekly;mean;;;0,8000000000;add;False;;52;True;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;726,0864836242;31,5668054767;29,4979073205;720,3710154512;60,1972594325;29,0864065942
35;CashierData_weekly;mean;;;0,8000000000;;False;;52;True;False;False;True;False;1017,8168847927;45,8610728684;39,0585896323;865,8487866902;52,4563937633;38,9304433863;613,9574266381;28,5016910355;28,1050831577;805,6331768991;104,1114656308;32,4031766884;716,6987969168;35,9212544290;30,9389800088;720,7663629337;63,0987292205;29,1740859846;729,7518289155;31,8398525608;29,7167061220;726,0841552500;58,1412196166;29,4602848558
